date,state,commodity,unit,price
2022-05-15,Borno,Oranges,400 G,132.75
2022-05-15,Borno,Rice (local),2.7 KG,1462.0
2022-05-15,Borno,Tomatoes,0.5 KG,75.0
2022-05-15,Borno,Yam,2.5 KG,857.6666666666666
2022-05-15,Yobe,Beans (red),2.5 KG,1354.7
2022-05-15,Yobe,Oranges,400 G,108.0
2022-05-15,Yobe,Rice (local),2.7 KG,1233.2344444444445
2022-05-15,Yobe,Tomatoes,0.5 KG,108.0
2022-05-15,Yobe,Yam,2.5 KG,819.3116666666666
2022-06-15,Borno,Rice (local),2.7 KG,1388.43
2022-06-15,Borno,Yam,2.5 KG,3077.47
2022-06-15,Yobe,Rice (local),2.7 KG,1194.0
2022-06-15,Yobe,Yam,2.5 KG,516.67
2022-07-15,Borno,Rice (local),2.7 KG,975.61
2022-07-15,Borno,Yam,2.5 KG,1183.61
2022-07-15,Yobe,Rice (local),2.7 KG,1194.0
2022-07-15,Yobe,Yam,2.5 KG,540.1
2022-08-15,Adamawa,Rice (local),2.7 KG,1282.21
2022-08-15,Adamawa,Yam,2.5 KG,3002.21
2022-08-15,Borno,Yam,2.5 KG,2435.04
2022-08-15,Yobe,Rice (local),2.7 KG,1226.0
2022-09-15,Adamawa,Yam,2.5 KG,2505.4
2022-09-15,Borno,Rice (local),2.7 KG,1096.07
2022-09-15,Borno,Yam,2.5 KG,2436.07
2022-09-15,Yobe,Rice (local),2.7 KG,1267.6
2022-09-15,Yobe,Yam,2.5 KG,476.67
2022-10-15,Adamawa,Yam,2.5 KG,2830.52
2022-10-15,Borno,Rice (local),2.7 KG,1151.8400000000001
2022-10-15,Borno,Yam,2.5 KG,1096.71
2022-10-15,Yobe,Rice (local),2.7 KG,1301.325
2022-10-15,Yobe,Yam,2.5 KG,650.94
2022-11-15,Adamawa,Rice (local),2.7 KG,1417.93
2022-11-15,Borno,Rice (local),2.7 KG,1277.265
2022-11-15,Borno,Yam,2.5 KG,1803.65
2022-11-15,Yobe,Rice (local),2.7 KG,1335.4
2022-11-15,Yobe,Yam,2.5 KG,652.335
2022-12-15,Adamawa,Rice (local),2.7 KG,1327.45
2022-12-15,Borno,Rice (local),2.7 KG,1318.3400000000001
2022-12-15,Yobe,Rice (local),2.7 KG,1313.8049999999998
2023-01-15,Adamawa,Yam,2.5 KG,3023.0
2023-01-15,Borno,Rice (local),2.7 KG,1257.0
2023-01-15,Borno,Yam,2.5 KG,2034.5
2023-01-15,Yobe,Yam,2.5 KG,800.0
2023-02-15,Borno,Beans (red),2.5 KG,1313.5
2023-02-15,Borno,Oranges,400 G,143.75
2023-02-15,Borno,Rice (local),2.7 KG,1866.2
2023-02-15,Borno,Tomatoes,0.5 KG,75.16666666666667
2023-02-15,Borno,Yam,2.5 KG,621.25
2023-02-15,Yobe,Beans (red),2.5 KG,798.2222222222222
